train_loss,val_loss,epoch,train_dice_score,val_dice_score,train_loss_ma,val_loss_ma,train_loss_gradient,val_loss_gradient,train_iou_estimate,val_iou_estimate
0.9995041042566299,1.0,1,0.0004958957433700562,0.0,,,,,0.00024800936507925745,0.0
0.9992382228374481,1.0,2,0.0007617771625518799,0.0,0.9993298252423605,1.0,-0.00026588141918182373,0.0,0.00038103371266617566,0.0
0.9992471486330032,1.0,3,0.0007528513669967651,0.0,0.9992059568564097,1.0,8.925795555114746e-06,0.0,0.00037656743315178995,0.0
0.9991324990987778,1.0,4,0.000867500901222229,0.0,0.99915179113547,1.0,-0.00011464953422546387,0.0,0.00043393867170550435,0.0
0.9990757256746292,1.0,5,0.0009242743253707886,0.0,0.9990795652071635,1.0,-5.677342414855957e-05,0.0,0.0004623508321871465,0.0
0.9990304708480835,1.0,6,0.0009695291519165039,0.0,0.9990298847357432,1.0,-4.525482654571533e-05,0.0,0.00048499968662567896,0.0
0.9989834576845169,1.0,7,0.0010165423154830933,0.0,0.9989820520083109,1.0,-4.7013163566589355e-05,0.0,0.0005085296286846641,0.0
0.9989322274923325,1.0,8,0.0010677725076675415,0.0,0.9989444762468338,1.0,-5.123019218444824e-05,0.0,0.00053417144062311,0.0
0.998917743563652,1.0,9,0.0010822564363479614,0.0,0.9989168047904968,1.0,-1.4483928680419922e-05,0.0,0.0005414211964613034,0.0
0.998900443315506,1.0,10,0.0010995566844940186,0.0,0.9988982429107031,1.0,-1.730024814605713e-05,0.0,0.0005500807647379488,0.0
0.998876541852951,1.0,11,0.0011234581470489502,0.0,0.9989322970310847,1.0,-2.390146255493164e-05,0.0,0.0005620447904238792,0.0
0.9990199059247971,1.0,12,0.000980094075202942,0.0,0.9989187667767206,1.0,0.0001433640718460083,0.0,0.0004902873014411158,0.0
0.9988598525524139,1.0,13,0.0011401474475860596,0.0,0.9989052712917328,1.0,-0.00016005337238311768,0.0,0.0005703988932141317,0.0
0.9988360553979874,1.0,14,0.0011639446020126343,0.0,0.9988085478544235,1.0,-2.3797154426574707e-05,0.0,0.0005823111899894571,0.0
0.9987297356128693,1.0,15,0.0012702643871307373,0.0,0.9987044135729471,1.0,-0.00010631978511810303,0.0,0.0006355358428393206,0.0
0.9985474497079849,1.0,16,0.0014525502920150757,0.0,0.9984402855237325,1.0,-0.00018228590488433838,0.0,0.0007268030049660883,0.0
0.9980436712503433,1.0,17,0.0019563287496566772,0.0,0.9979695479075114,1.0,-0.0005037784576416016,0.0,0.000979122117201992,0.0
0.9973175227642059,1.0,18,0.0026824772357940674,0.0,0.998437836766243,1.0,-0.0007261484861373901,0.0,0.0013430399549499913,0.0
0.9999523162841797,1.0,19,4.76837158203125e-05,0.0,0.9990759491920471,1.0,0.002634793519973755,0.0,2.3842426357897707e-05,0.0
0.9999580085277557,1.0,20,4.1991472244262695e-05,0.0,,,5.692243576049805e-06,0.0,2.099617695232221e-05,0.0
