epoch,train_loss,val_loss
1,0.9991848468780518,0.998833954334259
2,0.999116063117981,0.9985597133636475
3,0.9985790848731995,0.9983805418014526
4,0.9987466931343079,0.9982567429542542
5,0.9983794093132019,0.9985703229904175
6,0.9983574151992798,0.9984220266342163
7,0.9983299970626831,0.9981915950775146
8,0.9982999563217163,0.99807208776474
9,0.998241126537323,0.9980093836784363
10,0.9982136487960815,0.9979590773582458
11,0.9981825947761536,0.9979233741760254
12,0.998169481754303,0.9978978037834167
13,0.9981369376182556,0.9978785514831543
14,0.9981254935264587,0.9978593587875366
15,0.9981290102005005,0.9978454113006592
16,0.9980818033218384,0.9978362321853638
17,0.9980682134628296,0.9978293180465698
18,0.998053252696991,0.9978295564651489
19,0.998072624206543,0.997824490070343
20,0.9980146288871765,0.9978434443473816
