epoch,train_loss,val_loss
1,0.9995041042566299,1.0
2,0.9992382228374481,1.0
3,0.9992471486330032,1.0
4,0.9991324990987778,1.0
5,0.9990757256746292,1.0
6,0.9990304708480835,1.0
7,0.9989834576845169,1.0
8,0.9989322274923325,1.0
9,0.998917743563652,1.0
10,0.998900443315506,1.0
11,0.998876541852951,1.0
12,0.9990199059247971,1.0
13,0.9988598525524139,1.0
14,0.9988360553979874,1.0
15,0.9987297356128693,1.0
16,0.9985474497079849,1.0
17,0.9980436712503433,1.0
18,0.9973175227642059,1.0
19,0.9999523162841797,1.0
20,0.9999580085277557,1.0
